date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:43	739/739	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/demarche-qualite/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/demarche-qualite/feed/index.html	(from http://clinalpsud.fr/demarche-qualite/)
09:40:45	49983/49983	---M--	200	added ('OK')	image/jpeg	etag:%2215b04d2-c33f-4d0cfb4687a26%22	http://clinalpsud.fr/wp-content/uploads/2012/12/bloc_01.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/bloc_01.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:40:47	763/763	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/demarche-qualite/charte-du-patient/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/demarche-qualite/charte-du-patient/feed/index.html	(from http://clinalpsud.fr/demarche-qualite/charte-du-patient/)
09:40:48	749/749	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/comite-commissions/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/feed/index.html	(from http://clinalpsud.fr/comite-commissions/)
09:40:49	765/765	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/comite-commissions/comite-hemovigilance/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/comite-hemovigilance/feed/index.html	(from http://clinalpsud.fr/comite-commissions/comite-hemovigilance/)
09:41:15	219311/219311	---M--	200	added ('OK')	application/pdf	etag:%22123434a-358af-4d0b8029ef15b%22	http://clinalpsud.fr/pdf/5490_rac_synthetique_apres_ms_vd.pdf	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/pdf/5490_rac_synthetique_apres_ms_vd.pdf	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:41:16	166660/166660	---M--	200	added ('OK')	image/jpeg	etag:%22fae4b0-28b04-4d0e6d7c0184a%22	http://clinalpsud.fr/wp-content/uploads/2012/12/cheklist_patient.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/cheklist_patient.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:41:17	771/771	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/comite-commissions/infectiovigilance/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/infectiovigilance/feed/index.html	(from http://clinalpsud.fr/comite-commissions/infectiovigilance/)
09:41:19	233502/233502	---M--	200	added ('OK')	image/jpeg	etag:%2215b1861-3901e-4d0cfd905d24a%22	http://clinalpsud.fr/wp-content/uploads/2012/12/charte_patient_hospitalise.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/charte_patient_hospitalise.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:41:22	791/791	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://clinalpsud.fr/comite-commissions/infectiovigilance/maladies-nosocomiales/feed/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/infectiovigilance/maladies-nosocomiales/feed/index.html	(from http://clinalpsud.fr/comite-commissions/infectiovigilance/maladies-nosocomiales/)
